Name,Generocity,LifeExp,Score,GDP,Corruption,Support,Lat,Long,Capital
Thailand,0.287,67.401,5.985,9.805,0.895,0.888,13.75,100.516667,Bangkok
Togo,0.032,54.914,4.107,7.362,0.772,0.569,6.11666666666667,1.216667,Lome
Tunisia,-0.201,67.201,4.596,9.266,0.87,0.691,36.8,10.183333,Tunis
Turkey,-0.139,67.199,4.948,10.24,0.776,0.822,39.9333333333333,32.866667,Ankara
Turkmenistan,0.273,62.409,5.066,9.629,0.888,0.983,37.95,58.383333,Ashgabat
Uganda,0.122,56.101,4.636,7.677,0.855,0.781,0.316666666666667,32.55,Kampala
Ukraine,-0.011,64.902,4.875,9.436,0.924,0.888,50.4333333333333,30.516667,Kyiv
United Arab Emirates,0.074,67.333,6.561,11.085,0.589,0.844,24.4666666666667,54.366667,Abu Dhabi
United Kingdom,0.233,72.5,7.064,10.707,0.459,0.934,51.5,-0.083333,London
United States,0.098,68.2,6.951,11.023,0.698,0.92,38.883333,-77.0,Washington
Uruguay,-0.092,69.1,6.431,9.966,0.59,0.925,-34.85,-56.166667,Montevideo
Uzbekistan,0.311,65.255,6.179,8.836,0.515,0.918,41.3166666666667,69.25,Tashkent
Venezuela,-0.169,66.7,4.892,9.073,0.827,0.861,10.4833333333333,-66.866667,Caracas
Vietnam,-0.098,68.034,5.411,8.973,0.796,0.85,21.0333333333333,105.85,Hanoi
Yemen,-0.147,57.122,3.658,7.578,0.8,0.832,15.35,44.2,Sanaa
Zambia,0.061,55.809,4.073,8.145,0.823,0.708,-15.4166666666667,28.283333,Lusaka
Zimbabwe,-0.047,56.201,3.145,7.943,0.821,0.75,-17.8166666666667,31.033333,Harare
